Name,Team,G,PA,AB,H,HR,RBI,R
Aaron Judge,NYY,152,679,541,179,53,114,137
Cal Raleigh,SEA,159,705,596,147,60,125,110
Bobby Witt Jr.,KCR,157,687,623,184,23,88,99
Shohei Ohtani,LAD,158,727,611,172,55,102,146
Geraldo Perdomo,ARI,161,720,597,173,20,100,98
Trea Turner,PHI,141,639,589,179,15,69,94
Corbin Carroll,ARI,143,642,564,146,31,84,107
Jose Ramirez,CLE,158,673,593,168,30,85,103
Francisco Lindor,NYM,160,732,644,172,31,86,117
Fernando Tatis Jr.,SDP,155,691,594,159,25,71,111
Juan Soto,NYM,160,715,577,152,43,105,120
Jeremy Pena,HOU,125,543,493,150,17,62,68
Julio Rodriguez,SEA,160,710,652,174,32,95,106
Maikel Garcia,KCR,160,666,595,170,16,74,81
Pete Crow-Armstrong,CHC,157,647,591,146,31,95,91
George Springer,TOR,140,586,498,154,32,84,106
Byron Buxton,MIN,126,542,488,129,35,83,97
Kyle Schwarber,PHI,162,724,604,145,56,132,111
Cody Bellinger,NYY,152,656,588,160,29,98,89
Gunnar Henderson,BAL,154,651,577,158,17,68,85
Nico Hoerner,CHC,156,649,599,178,7,61,89
Matt Olson,ATL,162,724,624,170,29,95,98
Alejandro Kirk,TOR,130,506,451,127,15,76,45
Nick Kurtz,ATH,117,489,420,122,36,86,90
Ketel Marte,ARI,126,556,480,136,28,72,87
Junior Caminero,TBR,154,653,602,159,45,110,93
Kyle Tucker,CHC,136,597,500,133,22,73,91
Jazz Chisholm Jr.,NYY,130,531,462,112,31,80,75
Brice Turang,MIL,156,659,584,168,18,81,97
Elly De La Cruz,CIN,162,699,629,166,22,86,102
Will Smith,LAD,110,436,362,107,17,61,64
Wyatt Langford,TEX,134,573,489,118,22,62,73
Andy Pages,LAD,156,624,581,158,27,86,74
Dillon Dingler,DET,126,469,435,121,13,57,54
Kyle Stowers,MIA,117,457,399,115,25,73,61
Corey Seager,TEX,102,445,380,103,21,50,61
Willy Adames,SFG,160,686,591,133,30,87,94
Freddie Freeman,LAD,147,627,556,164,24,90,81
Shea Langeliers,ATH,123,523,481,133,31,72,73
Vladimir Guerrero Jr.,TOR,156,680,589,172,23,84,96
Jarren Duran,BOS,157,696,620,159,16,84,86
Bo Bichette,TOR,139,628,582,181,18,94,78
