IDfg,Name,PA,H,R,RBI,HR,SB,SO,Base_Hit_Rate,Base_HR_Rate,Base_RBI_Rate,Base_R_Rate,Base_SB_Rate,Base_K_Rate
2396,Carlos Santana,1213,256,141,157,46,10,203,0.2110469909315746,0.03792250618301731,0.12943116240725475,0.11624072547403133,0.008244023083264633,0.16735366859027206
5235,Justin Turner,1165,273,145,151,34,4,205,0.23433476394849787,0.029184549356223177,0.1296137339055794,0.12446351931330472,0.0034334763948497852,0.1759656652360515
5361,Freddie Freeman,1995,528,293,281,75,38,349,0.2646616541353383,0.03759398496240601,0.14085213032581453,0.1468671679197995,0.01904761904761905,0.174937343358396
5417,Jose Altuve,1336,341,174,142,46,32,228,0.25523952095808383,0.0344311377245509,0.1062874251497006,0.13023952095808383,0.023952095808383235,0.17065868263473055
7304,Salvador Perez,1873,438,171,284,80,0,389,0.23384943940202882,0.04271222637479979,0.15162840363053925,0.09129738387613455,0.0,0.20768820074746397
9218,Paul Goldschmidt,1875,440,235,190,57,27,434,0.23466666666666666,0.0304,0.10133333333333333,0.12533333333333332,0.0144,0.23146666666666665
9777,Nolan Arenado,1247,306,141,164,42,5,193,0.2453889334402566,0.03368083400160385,0.13151563753007217,0.11307137129109864,0.00400962309542903,0.15477145148356056
9847,Andrew McCutchen,1066,218,117,107,33,4,251,0.2045028142589118,0.03095684803001876,0.10037523452157598,0.10975609756097561,0.00375234521575985,0.2354596622889306
9874,DJ LeMahieu,562,121,55,44,15,2,125,0.21530249110320285,0.026690391459074734,0.07829181494661921,0.09786476868327403,0.0035587188612099642,0.22241992882562278
10155,Mike Trout,556,106,73,64,26,2,178,0.1906474820143885,0.046762589928057555,0.11510791366906475,0.13129496402877697,0.0035971223021582736,0.32014388489208634
10324,Marcell Ozuna,1872,441,241,272,100,1,448,0.23557692307692307,0.053418803418803416,0.1452991452991453,0.12873931623931623,0.0005341880341880342,0.23931623931623933
10472,Enrique Hernandez,508,110,57,61,11,4,97,0.21653543307086615,0.021653543307086614,0.12007874015748031,0.11220472440944881,0.007874015748031496,0.19094488188976377
10815,Jurickson Profar,1189,269,149,131,33,11,191,0.22624053826745164,0.027754415475189236,0.11017661900756939,0.12531539108494533,0.009251471825063078,0.16063919259882253
11281,Whit Merrifield,592,149,66,67,11,26,101,0.2516891891891892,0.018581081081081082,0.11317567567567567,0.11148648648648649,0.04391891891891892,0.17060810810810811
11445,Mark Canha,507,114,51,62,11,11,79,0.22485207100591717,0.021696252465483234,0.1222879684418146,0.10059171597633136,0.021696252465483234,0.15581854043392504
11477,Christian Yelich,1276,304,194,179,48,44,307,0.23824451410658307,0.03761755485893417,0.14028213166144202,0.15203761755485892,0.034482758620689655,0.24059561128526646
11493,Manny Machado,1922,472,243,291,86,28,364,0.24557752341311134,0.044745057232049947,0.1514047866805411,0.12643080124869926,0.014568158168574402,0.18938605619146723
11579,Bryce Harper,1757,422,241,234,78,30,378,0.24018212862834376,0.0443938531587934,0.1331815594763802,0.1371656232214001,0.01707455890722823,0.2151394422310757
11609,Willson Contreras,563,126,70,80,20,5,142,0.22380106571936056,0.035523978685612786,0.14209591474245115,0.12433392539964476,0.008880994671403197,0.2522202486678508
11615,Brandon Drury,523,127,61,83,26,0,136,0.24282982791587,0.0497131931166348,0.1586998087954111,0.11663479923518165,0.0,0.26003824091778205
11680,Elias Diaz,526,130,48,72,14,1,118,0.24714828897338403,0.026615969581749048,0.13688212927756654,0.09125475285171103,0.0019011406844106464,0.22433460076045628
11737,Nick Castellanos,1919,461,231,264,69,21,457,0.24022928608650337,0.03595622720166754,0.1375716519020323,0.12037519541427827,0.010943199583116207,0.23814486711829078
11739,J.T. Realmuto,1090,252,127,115,32,24,267,0.23119266055045873,0.029357798165137616,0.10550458715596331,0.11651376146788991,0.022018348623853212,0.24495412844036699
12155,Eddie Rosario,516,122,64,74,21,3,122,0.2364341085271318,0.040697674418604654,0.1434108527131783,0.12403100775193798,0.005813953488372093,0.2364341085271318
12161,Xander Bogaerts,1217,299,146,111,30,39,204,0.2456861133935908,0.024650780608052588,0.09120788824979457,0.1199671322925226,0.03204601479046836,0.1676253081347576
12533,Marcus Semien,2005,447,285,236,67,33,308,0.2229426433915212,0.03341645885286783,0.11770573566084788,0.14214463840399003,0.016458852867830425,0.15361596009975062
12552,Eugenio Suarez,1991,419,249,315,101,8,586,0.21044701155198392,0.050728277247614265,0.1582119537920643,0.12506278252134606,0.004018081366147665,0.29432446007031643
12564,Trevor Story,654,161,91,96,25,31,176,0.24617737003058104,0.0382262996941896,0.14678899082568808,0.13914373088685014,0.047400611620795105,0.2691131498470948
12856,George Springer,1883,432,267,212,72,54,351,0.22942113648433352,0.038236856080722255,0.11258629845990441,0.1417950079660117,0.02867764206054169,0.186404673393521
12916,Francisco Lindor,2108,494,332,275,95,91,395,0.23434535104364326,0.04506641366223909,0.13045540796963948,0.15749525616698293,0.04316888045540797,0.18738140417457305
12927,Brandon Nimmo,1997,444,258,250,72,31,445,0.22233350025037557,0.03605408112168253,0.12518778167250877,0.12919379068602904,0.015523284927391086,0.2228342513770656
12979,Javier Baez,547,113,58,59,9,12,125,0.20658135283363802,0.016453382084095063,0.10786106032906764,0.10603290676416818,0.021937842778793418,0.22851919561243145
13066,Teoscar Hernandez,1876,447,219,281,84,24,533,0.23827292110874201,0.04477611940298507,0.1497867803837953,0.11673773987206823,0.01279317697228145,0.28411513859275056
13145,Josh Bell,1753,380,168,208,63,0,342,0.21677124928693667,0.03593839132915003,0.11865373645179692,0.09583571021106674,0.0,0.195094124358243
13152,Jorge Polanco,524,125,64,78,26,6,82,0.2385496183206107,0.04961832061068702,0.14885496183206107,0.12213740458015267,0.011450381679389313,0.15648854961832062
13185,Orlando Arcia,1135,249,116,111,34,3,230,0.21938325991189428,0.029955947136563875,0.09779735682819383,0.10220264317180616,0.0026431718061674008,0.2026431718061674
13301,Max Muncy,579,102,95,105,36,1,153,0.17616580310880828,0.06217616580310881,0.18134715025906736,0.16407599309153714,0.0017271157167530224,0.26424870466321243
13419,Christian Walker,1853,409,230,275,86,15,437,0.2207231516459795,0.04641122504047491,0.1484079870480302,0.124123043712898,0.008094981111710739,0.2358337830545062
13510,Jose Ramirez,2046,513,304,283,93,113,229,0.250733137829912,0.045454545454545456,0.13831867057673508,0.14858260019550343,0.0552297165200391,0.11192570869990225
13590,Jesse Winker,508,109,63,58,14,14,106,0.21456692913385828,0.027559055118110236,0.1141732283464567,0.12401574803149606,0.027559055118110236,0.20866141732283464
13611,Mookie Betts,1872,461,296,264,78,38,232,0.24626068376068377,0.041666666666666664,0.14102564102564102,0.1581196581196581,0.0202991452991453,0.12393162393162394
13613,Ketel Marte,1789,440,274,249,89,19,298,0.24594745667970933,0.049748462828395755,0.13918390162101732,0.15315818893236444,0.010620458356623811,0.16657350475125768
13621,Jeimer Candelario,576,127,77,70,22,8,127,0.2204861111111111,0.03819444444444445,0.12152777777777778,0.13368055555555555,0.013888888888888888,0.2204861111111111
13624,Corey Seager,1069,288,156,170,63,3,184,0.2694106641721235,0.05893358278765201,0.15902712815715622,0.14593077642656688,0.002806361085126286,0.17212347988774557
14161,Byron Buxton,542,129,97,83,35,24,148,0.23800738007380073,0.06457564575645756,0.15313653136531366,0.17896678966789667,0.04428044280442804,0.2730627306273063
14162,Carlos Correa,1164,266,123,117,31,0,244,0.22852233676975944,0.02663230240549828,0.10051546391752578,0.1056701030927835,0.0,0.20962199312714777
14221,Jorge Soler,1154,245,161,139,57,2,282,0.2123050259965338,0.049393414211438474,0.12045060658578856,0.13951473136915077,0.0017331022530329288,0.24436741767764297
14344,Matt Olson,2129,490,303,332,112,2,513,0.23015500234852043,0.05260685767966181,0.15594175669328322,0.14232033818694223,0.0009394081728511038,0.24095819633630813
14366,Joey Meneses,657,168,71,89,13,0,130,0.2557077625570776,0.0197869101978691,0.1354642313546423,0.1080669710806697,0.0,0.197869101978691
14551,Anthony Santander,1321,292,172,197,72,7,281,0.2210446631339894,0.05450416351249054,0.14912944738834216,0.13020439061317185,0.005299015897047691,0.21271763815291445
14854,Mike Yastrzemski,558,111,68,46,17,7,108,0.1989247311827957,0.03046594982078853,0.08243727598566308,0.12186379928315412,0.012544802867383513,0.1935483870967742
15112,Ryan McMahon,1858,379,210,188,63,12,572,0.20398277717976318,0.03390742734122713,0.10118406889128095,0.11302475780409042,0.006458557588805167,0.3078579117330463
15172,Tim Anderson,524,121,52,25,1,13,122,0.23091603053435114,0.0019083969465648854,0.04770992366412214,0.09923664122137404,0.02480916030534351,0.23282442748091603
15362,Jeff McNeil,648,158,75,55,10,10,65,0.24382716049382716,0.015432098765432098,0.08487654320987655,0.11574074074074074,0.015432098765432098,0.10030864197530864
15464,Hunter Renfroe,548,116,60,60,20,0,125,0.2116788321167883,0.0364963503649635,0.10948905109489052,0.10948905109489052,0.0,0.2281021897810219
15491,J.P. Crawford,1292,293,163,123,31,10,247,0.22678018575851394,0.023993808049535603,0.09520123839009288,0.12616099071207432,0.007739938080495356,0.19117647058823528
