IDfg,Name,IP,TBF,SO,H,ER,Base_K_Rate,Base_IP_per_Start
2520,Lance Lynn,183.2,808,191,189,117,0.23638613861386137,5.0
4676,Charlie Morton,328.2,1417,350,304,143,0.24700070571630206,5.0
7593,Jordan Lyles,177.2,748,120,176,124,0.16042780748663102,5.0
8700,Justin Verlander,162.1,669,144,139,58,0.21524663677130046,5.0
9132,Nathan Eovaldi,170.2,696,166,147,72,0.23850574712643677,5.0
9323,Patrick Corbin,354.2,1554,263,418,213,0.16924066924066924,5.0
9803,Miles Mikolas,372.29999999999995,1580,259,420,209,0.1639240506329114,5.0
10123,Kyle Gibson,361.2,1529,308,359,181,0.2014388489208633,5.0
10310,Zack Wheeler,392.0,1574,436,307,134,0.2770012706480305,5.0
10603,Chris Sale,177.2,702,225,141,47,0.32051282051282054,5.0
10954,Jacob deGrom,172.2,669,185,122,57,0.2765321375186846,5.0
11156,Merrill Kelly,361.2,1470,354,300,137,0.24081632653061225,5.0
11423,Jose Quintana,170.1,717,135,150,71,0.18828451882845187,5.0
11486,Robbie Ray,182.1,755,186,148,74,0.24635761589403973,5.0
11674,Jameson Taillon,165.1,675,125,154,60,0.18518518518518517,5.0
11836,Taijuan Walker,172.2,733,138,155,84,0.1882673942701228,5.0
12049,Kyle Hendricks,164.2,695,114,167,87,0.16402877697841728,5.0
12304,Chris Bassitt,541.1,2320,520,530,234,0.22413793103448276,5.0
12317,Colin Rea,167.2,714,135,169,80,0.18907563025210083,5.0
12447,Seth Lugo,206.2,836,181,177,69,0.21650717703349281,5.0
12730,Nick Martinez,165.2,683,116,158,82,0.1698389458272328,5.0
12768,Sonny Gray,530.3,2178,587,483,214,0.2695133149678604,5.0
12880,Tyler Anderson,179.1,765,142,158,76,0.18562091503267975,5.0
13125,Gerrit Cole,209.0,821,222,157,61,0.27040194884287455,5.0
13543,Blake Snell,180.0,742,234,115,45,0.31536388140161725,5.0
13649,Clay Holmes,165.2,708,129,150,65,0.18220338983050846,5.0
13743,Max Fried,369.2,1515,355,310,125,0.23432343234323433,5.0
13774,Zach Eflin,342.29999999999995,1387,320,324,135,0.23071377072819033,5.0
14078,Michael Wacha,338.4,1401,271,320,136,0.1934332619557459,5.0
14107,Kevin Gausman,559.0,2294,588,483,219,0.2563208369659983,5.0
14168,Jose Berrios,547.3,2266,475,501,231,0.20962047661076788,5.0
15440,Matthew Boyd,179.2,718,154,154,64,0.21448467966573817,5.0
15454,Nick Pivetta,181.2,721,190,129,58,0.2635228848821082,5.0
15474,Lucas Giolito,184.1,794,204,169,100,0.25692695214105793,5.0
15689,Luis Castillo,552.3,2266,556,486,215,0.24536628420123566,5.0
15823,Zack Littell,186.2,759,130,174,79,0.1712779973649539,5.0
15873,Sean Manaea,181.2,738,184,134,70,0.24932249322493225,5.0
15890,Luis Severino,344.2,1466,285,328,161,0.19440654843110505,5.0
