Name,Team,G,GS,IP,SO,K/9
Tarik Skubal,DET,31,31,195.1,241,11.1
Paul Skenes,PIT,32,32,187.2,216,10.36
Cristopher Sanchez,PHI,32,32,202.0,212,9.45
Garrett Crochet,BOS,32,32,205.1,255,11.18
Logan Webb,SFG,34,34,207.0,224,9.74
Jesus Luzardo,PHI,32,32,183.2,216,10.58
Yoshinobu Yamamoto,LAD,30,30,173.2,201,10.42
Max Fried,NYY,32,32,195.1,189,8.71
Hunter Brown,HOU,31,31,185.1,206,10.0
Kevin Gausman,TOR,32,32,193.0,189,8.81
Framber Valdez,HOU,31,31,192.0,187,8.77
Ranger Suarez,PHI,26,26,157.1,151,8.64
Zack Wheeler,PHI,24,24,149.2,195,11.73
Andrew Abbott,CIN,29,29,166.1,149,8.06
Nick Pivetta,SDP,31,31,181.2,190,9.41
Nathan Eovaldi,TEX,22,22,130.0,129,8.93
Freddy Peralta,MIL,33,33,176.2,204,10.39
Bryan Woo,SEA,30,30,186.2,198,9.55
Sonny Gray,STL,32,32,180.2,201,10.01
Michael Wacha,KCR,31,31,172.2,126,6.57
Chris Sale,ATL,21,20,125.2,165,11.82
Matthew Boyd,CHC,31,31,179.2,154,7.71
Jacob deGrom,TEX,30,30,172.2,185,9.64
Dylan Cease,SDP,32,32,168.0,215,11.52
Trevor Rogers,BAL,18,18,109.2,103,8.45
Kris Bubic,KCR,20,20,116.1,116,8.97
Carlos Rodon,NYY,33,33,195.1,203,9.35
Joe Ryan,MIN,31,30,171.0,194,10.21
Merrill Kelly,- - -,32,32,184.0,167,8.17
David Peterson,NYM,30,30,168.2,150,8.0
Jose Soriano,LAA,31,31,169.0,152,8.09
Brady Singer,CIN,32,32,169.2,163,8.65
Hunter Greene,CIN,19,19,107.2,132,11.03
MacKenzie Gore,WSN,30,30,159.2,185,10.43
Nick Lodolo,CIN,29,28,156.2,156,8.96
Cade Smith,CLE,76,0,73.2,104,12.71
Luis Castillo,SEA,32,32,180.2,162,8.07
Dean Kremer,BAL,31,29,171.2,142,7.44
Logan Gilbert,SEA,25,25,131.0,173,11.89
Aroldis Chapman,BOS,67,0,61.1,85,12.47
Chad Patrick,MIL,27,23,119.2,127,9.55
Clayton Kershaw,LAD,23,22,112.2,84,6.71
Drew Rasmussen,TBR,31,31,150.0,127,7.62
Luis Severino,ATH,29,29,162.2,124,6.86
Jack Flaherty,DET,31,31,161.0,188,10.51
Yusei Kikuchi,LAA,33,33,178.1,174,8.78
Janson Junk,MIA,21,16,110.0,77,6.3
Mitch Keller,PIT,32,32,176.1,150,7.66
Kyle Freeland,COL,31,31,162.2,124,6.86
Casey Mize,DET,28,28,149.0,139,8.4
Chris Bassitt,TOR,32,31,170.1,166,8.77
George Kirby,SEA,23,23,126.0,137,9.79
Spencer Schwellenbach,ATL,17,17,110.2,108,8.78
Jack Leiter,TEX,29,29,151.2,148,8.78
Adrian Houser,- - -,21,21,125.0,92,6.62
Adrian Morejon,SDP,75,0,73.2,70,8.55
Cade Horton,CHC,23,22,118.0,97,7.4
Robbie Ray,SFG,32,32,182.1,186,9.18
Garrett Whitlock,BOS,62,0,72.0,91,11.38
Shane Smith,CHW,29,29,146.1,145,8.92
Justin Verlander,SFG,29,29,152.0,137,8.11
Bryan Abreu,HOU,70,0,71.0,105,13.31
Nick Martinez,CIN,40,26,165.2,116,6.3
Will Warren,NYY,33,33,162.1,171,9.48
Jhoan Duran,- - -,72,0,70.0,80,10.29
Emmet Sheehan,LAD,15,12,73.1,89,10.92
Cole Ragans,KCR,13,13,61.2,98,14.3
Ryan Pepiot,TBR,31,31,167.2,167,8.96
Lucas Giolito,BOS,26,26,145.0,121,7.51
Shane Baz,TBR,31,31,166.1,176,9.52
Edward Cabrera,MIA,26,26,137.2,150,9.81
Ryne Nelson,ARI,33,23,154.0,132,7.71
Edwin Diaz,NYM,62,0,66.1,98,13.3
David Bednar,- - -,64,0,62.2,86,12.35
Mason Miller,- - -,60,0,61.2,104,15.18
Quinn Priester,MIL,29,24,157.1,132,7.55
Clay Holmes,NYM,33,31,165.2,129,7.01
Tanner Bibee,CLE,31,31,182.1,162,8.0
Brayan Bello,BOS,29,28,166.2,124,6.7
Colin Rea,CHC,32,27,159.1,127,7.17
Eury Perez,MIA,20,20,95.1,105,9.91
Patrick Corbin,TEX,31,30,155.1,131,7.59
Tyler Mahle,TEX,16,16,86.2,66,6.85
Blake Snell,LAD,11,11,61.1,72,10.57
Robert Suarez,SDP,70,0,69.2,75,9.69
Andres Munoz,SEA,64,0,62.1,83,11.98
Shohei Ohtani,LAD,14,14,47.0,62,11.87
Noah Cameron,KCR,24,24,138.1,114,7.42
Matthew Liberatore,STL,29,29,151.2,122,7.24
Kyle Hendricks,LAA,31,31,164.2,114,6.23
Brandon Woodruff,MIL,12,12,64.2,83,11.55
Will Vest,DET,64,0,68.2,75,9.83
Taj Bradley,- - -,27,27,142.2,127,8.01
Pablo Lopez,MIN,14,14,75.2,73,8.68
Brandon Pfaadt,ARI,33,33,176.2,147,7.49
Jeffrey Springs,ATH,32,30,171.0,138,7.26
Sandy Alcantara,MIA,31,31,174.2,142,7.32
Logan Allen,CLE,30,29,156.2,122,7.01
Stephen Kolek,- - -,19,19,112.2,77,6.15
Gabe Speier,SEA,76,0,62.0,82,11.9
Abner Uribe,MIL,75,0,75.1,90,10.75
Jack Dreyer,LAD,67,5,76.1,74,8.72
Sean Newcomb,- - -,48,5,92.1,91,8.87
Grant Taylor,CHW,36,2,36.2,54,13.25
Griffin Jax,- - -,73,2,66.0,99,13.5
Graham Ashcraft,CIN,62,0,65.1,64,8.82
Trevor Megill,MIL,50,0,47.0,60,11.49
Carmen Mlodzinski,PIT,34,12,99.0,89,8.09
Braxton Ashcraft,PIT,26,8,69.2,71,9.17
Tyler Glasnow,LAD,18,18,90.1,106,10.56
Steven Okert,HOU,68,1,71.2,84,10.55
Zack Littell,- - -,32,32,186.2,130,6.27
Joey Cantillo,CLE,34,13,95.1,108,10.2
Tylor Megill,NYM,14,14,68.1,89,11.72
Justin Wrobleski,LAD,24,2,66.2,76,10.26
Phil Maton,- - -,63,0,61.1,81,11.89
Matt Strahm,PHI,66,0,62.1,70,10.11
Gavin Williams,CLE,31,31,167.2,173,9.29
Eric Lauer,TOR,28,15,104.2,102,8.77
Kodai Senga,NYM,22,22,113.1,109,8.66
Zebby Matthews,MIN,16,16,79.1,88,9.98
Shawn Armstrong,TEX,71,2,74.0,74,9.0
Kyle Leahy,STL,62,1,88.0,80,8.18
Reese Olson,DET,13,13,68.2,65,8.52
Jose A. Ferrer,WSN,72,0,76.1,71,8.37
Devin Williams,NYY,67,0,62.0,90,13.06
Randy Rodriguez,SFG,50,0,50.2,67,11.9
Cade Povich,BAL,22,20,112.1,118,9.45
Chase Burns,CIN,13,8,43.1,67,13.92
Jose Berrios,TOR,31,30,166.0,138,7.48
Eduardo Rodriguez,ARI,29,29,154.1,143,8.34
Ronny Henriquez,MIA,69,0,73.0,98,12.08
Davis Martin,CHW,26,25,142.2,104,6.56
Ben Casparius,LAD,46,3,77.2,71,8.23
Tyler Alexander,- - -,52,5,97.2,82,7.56
Tyler Rogers,- - -,81,0,77.1,48,5.59
Brad Keller,CHC,68,1,69.2,75,9.69
Cameron Schlittler,NYY,14,14,73.0,84,10.36
Brendon Little,TOR,79,0,68.1,91,11.99
Clarke Schmidt,NYY,14,14,78.2,73,8.35
Jacob Latz,TEX,33,8,85.2,76,7.98
Mike Burrows,PIT,23,19,96.0,97,9.09
Jimmy Herget,COL,59,0,83.1,81,8.75
Jason Adam,SDP,65,0,65.1,70,9.64
Simeon Woods Richardson,MIN,23,22,111.1,107,8.65
Jacob Lopez,ATH,21,17,92.2,113,10.97
Michael Lorenzen,KCR,27,26,141.2,127,8.07
Hurston Waldrep,ATL,10,9,56.1,55,8.79
Bailey Ober,MIN,27,27,146.1,120,7.38
Nolan McLean,NYM,8,8,48.0,57,10.69
Aaron Ashby,MIL,43,1,66.2,76,10.26
Reid Detmers,LAA,61,0,63.2,80,11.31
Brad Lord,WSN,48,19,130.2,108,7.44
Jacob Misiorowski,MIL,15,14,66.0,87,11.86
Dennis Santana,PIT,70,0,70.1,60,7.68
Louie Varland,- - -,74,1,72.2,75,9.29
Kyle Finnegan,- - -,56,0,57.0,55,8.68
Trevor Williams,WSN,17,17,82.2,65,7.08
Zac Gallen,ARI,33,33,192.0,175,8.2
Jameson Taillon,CHC,23,23,129.2,98,6.8
Landen Roupp,SFG,22,22,106.2,102,8.61
Josh Hader,HOU,48,0,52.2,76,12.99
Bennett Sousa,HOU,44,0,50.2,59,10.48
Steven Matz,- - -,53,2,76.2,59,6.93
Emmanuel Clase,CLE,48,0,47.1,47,8.94
Joey Wentz,- - -,39,13,98.0,92,8.45
Ben Brown,CHC,25,15,106.1,121,10.24
Carlos Estevez,KCR,67,0,66.0,54,7.36
Ian Seymour,TBR,19,5,57.0,64,10.11
Caleb Thielbar,CHC,67,0,58.0,56,8.69
Michael Soroka,- - -,22,17,89.2,95,9.54
Tony Santillan,CIN,80,0,73.2,75,9.16
Kyle Bradish,BAL,6,6,32.0,47,13.22
Matt Svanson,STL,39,0,60.1,68,10.14
Pete Fairbanks,TBR,61,0,60.1,59,8.8
Alex Vesia,LAD,68,0,59.2,80,12.07
Raisel Iglesias,ATL,70,0,67.1,73,9.76
Justin Wilson,BOS,61,0,48.1,57,10.61
Jeremiah Estrada,SDP,77,0,73.0,108,13.32
Hunter Dobbins,BOS,13,11,61.0,45,6.64
Parker Messick,CLE,7,7,39.2,38,8.62
Hoby Milner,TEX,73,0,70.1,58,7.42
Emilio Pagan,CIN,70,0,68.2,81,10.62
Ryan Bergert,- - -,19,15,76.1,73,8.61
Daniel Palencia,CHC,54,0,52.2,61,10.42
Edwin Uceta,TBR,70,0,76.0,103,12.2
Shota Imanaga,CHC,25,25,144.2,117,7.28
Mitchell Parker,WSN,33,30,164.2,103,5.63
Lucas Erceg,KCR,61,0,61.1,48,7.04
Michael McGreevy,STL,17,16,95.2,58,5.46
Bryce Elder,ATL,28,28,156.1,131,7.54
Griffin Canning,NYM,16,16,76.1,70,8.25
Spencer Strider,ATL,23,23,125.1,131,9.41
Jared Koenig,MIL,72,0,66.0,68,9.27
Tyler Kinley,- - -,73,0,72.2,73,9.04
Aaron Nola,PHI,17,17,94.1,97,9.25
JoJo Romero,STL,65,0,61.0,55,8.11
Seranthony Dominguez,- - -,67,0,62.2,79,11.35
Grant Holmes,ATL,22,21,115.0,123,9.63
Bubba Chandler,PIT,7,4,31.1,31,8.9
Luis L. Ortiz,CLE,16,16,88.2,96,9.74
Aaron Civale,- - -,23,18,102.0,88,7.76
Cristian Javier,HOU,8,8,37.0,34,8.27
Justin Topa,MIN,54,1,60.0,49,7.35
Jose Quintana,MIL,24,24,131.2,89,6.08
Braydon Fisher,TOR,52,1,50.0,62,11.16
Dustin May,- - -,25,23,132.1,123,8.37
Ryan Gusto,- - -,27,17,101.2,97,8.59
Tanner Banks,PHI,69,1,67.1,61,8.15
Randy Vasquez,SDP,28,26,133.2,78,5.25
Michael King,SDP,15,15,73.1,76,9.33
Caleb Ferguson,- - -,70,0,65.1,51,7.03
Matt Festa,CLE,63,0,54.2,56,9.22
Andrew Kittredge,- - -,54,0,53.0,64,10.87
Cole Sands,MIN,69,3,72.0,64,8.0
J.T. Ginn,ATH,23,16,90.1,99,9.86
Fernando Cruz,NYY,49,0,48.0,72,13.5
Reed Garrett,NYM,58,1,55.1,64,10.41
Tommy Nance,TOR,30,0,31.2,32,9.09
Hunter Gaddis,CLE,73,0,66.2,73,9.86
Matt Brash,SEA,53,0,47.1,58,11.03
Brandon Walter,HOU,9,9,53.2,52,8.72
Martin Perez,CHW,11,10,56.0,44,7.07
Orion Kerkering,PHI,69,0,60.0,65,9.75
Slade Cecconi,CLE,23,23,132.0,109,7.43
Greg Weissert,BOS,72,0,67.0,57,7.66
Andre Pallante,STL,31,31,162.2,111,6.14
Bryan King,HOU,68,0,68.0,69,9.13
Chris Paddack,- - -,33,28,158.0,112,6.38
Sean Burke,CHW,28,22,134.1,133,8.91
Corbin Burnes,ARI,11,11,64.1,63,8.81
Drew Pomeranz,CHC,57,4,49.2,57,10.33
Danny Coulombe,- - -,55,1,43.0,43,9.0
Garrett Cleavinger,TBR,67,0,61.1,82,12.03
Brock Stewart,- - -,43,0,37.2,44,10.51
Kolby Allard,CLE,33,2,65.0,42,5.82
Luis Garcia,- - -,58,0,55.1,48,7.81
Juan Mejia,COL,55,0,61.1,68,9.98
Manuel Rodriguez,TBR,31,0,30.1,25,7.42
Gregory Soto,- - -,70,0,60.1,70,10.44
Mark Leiter Jr.,NYY,59,0,48.1,54,10.06
Tanner Gordon,COL,15,15,75.1,62,7.41
Kenley Jansen,LAA,62,0,59.0,57,8.69
Ryan Walker,SFG,68,0,61.1,60,8.8
Brant Hurter,DET,43,4,63.0,68,9.71
Shelby Miller,- - -,48,0,46.0,54,10.57
Jakob Junis,CLE,57,0,66.2,55,7.43
Brennan Bernardino,BOS,55,3,51.2,43,7.49
Luis Gil,NYY,11,11,57.0,41,6.47
Camilo Doval,- - -,69,0,65.1,72,9.92
Isaac Mattson,PIT,44,0,47.2,45,8.5
Brenan Hanifee,DET,54,0,60.0,40,6.0
AJ Smith-Shawver,ATL,9,9,44.1,42,8.53
Ronel Blanco,HOU,9,9,48.1,48,8.94
Chris Martin,TEX,49,0,42.1,43,9.14
Hogan Harris,ATH,48,0,64.2,65,9.05
