Team,Venue,Split,Split_RPG
ARI,Away,LHP,5.17
ARI,Away,RHP,5.26
ARI,Home,LHP,6.36
ARI,Home,RHP,5.15
ATL,Away,LHP,5.62
ATL,Away,RHP,4.17
ATL,Home,LHP,3.39
ATL,Home,RHP,3.66
BAL,Away,LHP,4.57
BAL,Away,RHP,5.18
BAL,Home,LHP,4.32
BAL,Home,RHP,4.67
BOS,Away,LHP,4.38
BOS,Away,RHP,4.91
BOS,Home,LHP,4.16
BOS,Home,RHP,4.5
CHC,Away,LHP,5.42
CHC,Away,RHP,4.98
CHC,Home,LHP,4.19
CHC,Home,RHP,3.82
CHW,Away,LHP,3.24
CHW,Away,RHP,3.12
CHW,Home,LHP,2.0
CHW,Home,RHP,3.31
CIN,Away,LHP,3.39
CIN,Away,RHP,4.32
CIN,Home,LHP,4.04
CIN,Home,RHP,4.5
CLE,Away,LHP,5.1
CLE,Away,RHP,3.74
CLE,Home,LHP,5.14
CLE,Home,RHP,4.22
COL,Away,LHP,3.48
COL,Away,RHP,3.55
COL,Home,LHP,4.59
COL,Home,RHP,4.92
DET,Away,LHP,4.59
DET,Away,RHP,4.14
DET,Home,LHP,4.65
DET,Home,RHP,3.76
HOU,Away,LHP,4.54
HOU,Away,RHP,4.14
HOU,Home,LHP,5.05
HOU,Home,RHP,4.81
KCR,Away,LHP,4.95
KCR,Away,RHP,3.9
KCR,Home,LHP,3.69
KCR,Home,RHP,5.02
LAA,Away,LHP,4.45
LAA,Away,RHP,3.65
LAA,Home,LHP,4.21
LAA,Home,RHP,3.9
LAD,Away,LHP,5.8
LAD,Away,RHP,5.16
LAD,Home,LHP,4.14
LAD,Home,RHP,5.42
MIA,Away,LHP,2.25
MIA,Away,RHP,4.28
MIA,Home,LHP,3.43
MIA,Home,RHP,4.66
MIL,Away,LHP,3.7
MIL,Away,RHP,5.42
MIL,Home,LHP,4.58
MIL,Home,RHP,4.51
MIN,Away,LHP,3.79
MIN,Away,RHP,4.42
MIN,Home,LHP,4.5
MIN,Home,RHP,4.74
NYM,Away,LHP,4.52
NYM,Away,RHP,4.55
NYM,Home,LHP,5.22
NYM,Home,RHP,4.23
NYY,Away,LHP,5.4
NYY,Away,RHP,5.13
NYY,Home,LHP,3.8
NYY,Home,RHP,5.07
OAK,Away,LHP,3.57
OAK,Away,RHP,4.03
OAK,Home,LHP,5.38
OAK,Home,RHP,3.65
PHI,Away,LHP,5.24
PHI,Away,RHP,4.27
PHI,Home,LHP,4.62
PHI,Home,RHP,5.21
PIT,Away,LHP,3.63
PIT,Away,RHP,4.07
PIT,Home,LHP,4.41
PIT,Home,RHP,4.1
SDP,Away,LHP,4.04
SDP,Away,RHP,5.27
SDP,Home,LHP,3.3
SDP,Home,RHP,4.83
SEA,Away,LHP,5.29
SEA,Away,RHP,4.21
SEA,Home,LHP,3.32
SEA,Home,RHP,3.93
SFG,Away,LHP,4.15
SFG,Away,RHP,4.52
SFG,Home,LHP,4.58
SFG,Home,RHP,3.93
STL,Away,LHP,4.45
STL,Away,RHP,3.89
STL,Home,LHP,4.0
STL,Home,RHP,3.94
TBR,Away,LHP,4.0
TBR,Away,RHP,3.61
TBR,Home,LHP,4.4
TBR,Home,RHP,3.56
TEX,Away,LHP,3.71
TEX,Away,RHP,4.39
TEX,Home,LHP,3.58
TEX,Home,RHP,4.32
TOR,Away,LHP,2.88
TOR,Away,RHP,4.4
TOR,Home,LHP,4.2
TOR,Home,RHP,4.1
WSN,Away,LHP,3.74
WSN,Away,RHP,4.05
WSN,Home,LHP,3.72
WSN,Home,RHP,4.25
