team,name,birthdate,last_season_war,type
BOS,Rafael Devers,1996-10-24,3.5,Batter
BOS,Jarren Duran,1996-09-05,4.1,Batter
BOS,Triston Casas,2000-01-15,2.2,Batter
BOS,Ceddanne Rafaela,2000-09-18,1.5,Batter
BOS,Trevor Story,1992-11-15,1.2,Batter
BOS,Wilyer Abreu,1999-06-24,2.8,Batter
BOS,Brayan Bello,1999-05-17,2.5,Pitcher
BOS,Tanner Houck,1996-06-29,3.1,Pitcher
NYY,Aaron Judge,1992-04-26,8.1,Batter
NYY,Juan Soto,1998-10-25,5.5,Batter
NYY,Anthony Volpe,2001-04-28,1.9,Batter
NYY,Jazz Chisholm Jr.,1998-02-01,2.1,Batter
NYY,Giancarlo Stanton,1989-11-08,1.0,Batter
NYY,Austin Wells,1999-07-12,2.5,Batter
NYY,Gerrit Cole,1990-09-08,3.0,Pitcher
NYY,Carlos Rodon,1992-12-10,2.0,Pitcher
LAD,Shohei Ohtani,1994-07-05,9.0,Batter
LAD,Mookie Betts,1992-10-07,6.5,Batter
LAD,Freddie Freeman,1989-09-12,4.0,Batter
LAD,Yoshinobu Yamamoto,1998-08-17,3.0,Pitcher
ARI,ARI Batter 1,1997-01-01,1.5,Batter
ARI,ARI Batter 2,1997-01-01,1.5,Batter
ARI,ARI Batter 3,1997-01-01,1.5,Batter
ARI,ARI Batter 4,1997-01-01,1.5,Batter
ARI,ARI Batter 5,1997-01-01,1.5,Batter
ARI,ARI Batter 6,1997-01-01,1.5,Batter
ARI,ARI Batter 7,1997-01-01,1.5,Batter
ARI,ARI Batter 8,1997-01-01,1.5,Batter
ARI,ARI Batter 9,1997-01-01,1.5,Batter
ARI,ARI Batter 10,1997-01-01,1.5,Batter
ARI,ARI Batter 11,1997-01-01,1.5,Batter
ARI,ARI Batter 12,1997-01-01,1.5,Batter
ARI,ARI Batter 13,1997-01-01,1.5,Batter
ARI,ARI Batter 14,1997-01-01,1.5,Batter
ARI,ARI Pitcher 1,1997-01-01,1.8,Pitcher
ARI,ARI Pitcher 2,1997-01-01,1.8,Pitcher
ARI,ARI Pitcher 3,1997-01-01,1.8,Pitcher
ARI,ARI Pitcher 4,1997-01-01,1.8,Pitcher
ARI,ARI Pitcher 5,1997-01-01,1.8,Pitcher
ATL,ATL Batter 1,1997-01-01,1.5,Batter
ATL,ATL Batter 2,1997-01-01,1.5,Batter
ATL,ATL Batter 3,1997-01-01,1.5,Batter
ATL,ATL Batter 4,1997-01-01,1.5,Batter
ATL,ATL Batter 5,1997-01-01,1.5,Batter
ATL,ATL Batter 6,1997-01-01,1.5,Batter
ATL,ATL Batter 7,1997-01-01,1.5,Batter
ATL,ATL Batter 8,1997-01-01,1.5,Batter
ATL,ATL Batter 9,1997-01-01,1.5,Batter
ATL,ATL Batter 10,1997-01-01,1.5,Batter
ATL,ATL Batter 11,1997-01-01,1.5,Batter
ATL,ATL Batter 12,1997-01-01,1.5,Batter
ATL,ATL Batter 13,1997-01-01,1.5,Batter
ATL,ATL Batter 14,1997-01-01,1.5,Batter
ATL,ATL Pitcher 1,1997-01-01,1.8,Pitcher
ATL,ATL Pitcher 2,1997-01-01,1.8,Pitcher
ATL,ATL Pitcher 3,1997-01-01,1.8,Pitcher
ATL,ATL Pitcher 4,1997-01-01,1.8,Pitcher
ATL,ATL Pitcher 5,1997-01-01,1.8,Pitcher
BAL,BAL Batter 1,1997-01-01,1.5,Batter
BAL,BAL Batter 2,1997-01-01,1.5,Batter
BAL,BAL Batter 3,1997-01-01,1.5,Batter
BAL,BAL Batter 4,1997-01-01,1.5,Batter
BAL,BAL Batter 5,1997-01-01,1.5,Batter
