Team,Runs,OBP,SLG,OPS
,6.5,0.33,0.38,0.71
Southern California,5.7,0.373,0.496,0.644
Auburn,7.7,0.363,0.465,0.604
Texas,9.5,0.345,0.45,0.562
UC Santa Barbara,6.4,0.344,0.435,0.525
Southern Miss,6.1,0.343,0.45,0.568
Hawaii,4.6,0.341,0.471,0.577
South Florida,8.3,0.341,0.416,0.526
Clemson,7.3,0.335,0.462,0.682
North Carolina,8.7,0.333,0.445,0.539
Oregon State,6.0,0.331,0.424,0.574
Arkansas State,7.0,0.331,0.435,0.56
California Baptist,7.2,0.33,0.432,0.496
Arkansas,6.6,0.33,0.467,0.586
Jacksonville State,7.5,0.329,0.433,0.524
UCLA,8.9,0.326,0.457,0.548
UNC Wilmington,5.5,0.325,0.443,0.565
Tennessee,6.7,0.325,0.445,0.51
West Virginia,9.3,0.324,0.441,0.564
Oklahoma,8.7,0.323,0.457,0.56
Mississippi State,10.2,0.322,0.442,0.49
Ole Miss,7.7,0.322,0.428,0.52
Portland,6.1,0.318,0.424,0.573
Fairfield,4.6,0.317,0.43,0.521
Minnesota,7.4,0.317,0.402,0.508
Oregon,8.4,0.316,0.413,0.504
Florida State,8.8,0.315,0.425,0.53
Navy,5.8,0.315,0.42,0.5
NC State,4.9,0.314,0.417,0.482
Florida,8.2,0.314,0.404,0.507
Kentucky,8.0,0.314,0.429,0.507
Longwood,7.0,0.313,0.409,0.511
Northwestern State,6.7,0.313,0.402,0.461
Nebraska,6.8,0.312,0.408,0.454
Alabama,7.5,0.312,0.427,0.448
California,5.8,0.311,0.43,0.49
East Carolina,7.1,0.311,0.428,0.538
Cal State Fullerton,5.0,0.309,0.421,0.493
East Tennessee State,9.3,0.308,0.401,0.447
Lindenwood,5.5,0.308,0.407,0.417
Georgia,10.4,0.307,0.401,0.462
Boston College,7.0,0.307,0.407,0.429
UCF,6.9,0.306,0.399,0.441
Kent State,7.7,0.306,0.41,0.523
Cal Poly,6.2,0.305,0.426,0.49
Illinois,6.6,0.305,0.415,0.488
Missouri,9.6,0.304,0.454,0.422
Florida Gulf Coast,8.8,0.304,0.424,0.517
Texas A&M,9.8,0.303,0.422,0.458
Wofford,8.0,0.303,0.403,0.505
VMI,10.2,0.303,0.409,0.558
Cincinnati,7.7,0.303,0.394,0.528
Dartmouth,4.6,0.302,0.438,0.521
Iona,4.0,0.301,0.394,0.442
Santa Clara,5.4,0.301,0.389,0.456
South Carolina,5.7,0.3,0.412,0.452
Pittsburgh,10.7,0.3,0.421,0.547
