Team,ERA,K_BB_Ratio
,5.0,0.0
Southern California,1.83,3.1744186046511627
Auburn,2.54,4.416666666666667
Texas,2.72,3.259259259259259
UC Santa Barbara,2.72,3.0416666666666665
Southern Miss,2.9,3.449275362318841
Hawaii,2.97,2.9411764705882355
South Florida,3.0,2.6184210526315788
Clemson,3.09,3.621212121212121
North Carolina,3.16,2.282608695652174
Oregon State,3.23,3.3411764705882354
Arkansas State,3.25,2.857142857142857
California Baptist,3.26,3.5
Arkansas,3.28,3.7222222222222223
Jacksonville State,3.29,2.75
UCLA,3.42,2.85
UNC Wilmington,3.42,3.05
Tennessee,3.44,3.643835616438356
West Virginia,3.45,2.717948717948718
Oklahoma,3.49,2.5833333333333335
Mississippi State,3.5,3.513157894736842
Ole Miss,3.51,3.21978021978022
Portland,3.52,2.217948717948718
Fairfield,3.55,1.4946236559139785
Minnesota,3.55,2.4878048780487805
Oregon,3.62,2.752688172043011
Florida State,3.63,2.9069767441860463
Navy,3.67,2.477777777777778
NC State,3.77,2.5543478260869565
Florida,3.83,3.0454545454545454
Kentucky,3.83,2.4347826086956523
Longwood,3.85,2.779220779220779
Northwestern State,4.01,3.1710526315789473
Nebraska,4.05,2.479591836734694
Alabama,4.07,2.7439024390243905
California,4.08,2.019607843137255
East Carolina,4.09,2.9625
Cal State Fullerton,4.1,2.4375
East Tennessee State,4.11,2.0697674418604652
Lindenwood,4.15,1.8481012658227849
Georgia,4.17,2.8404255319148937
Boston College,4.22,2.1473684210526316
UCF,4.24,2.2467532467532467
Kent State,4.29,3.406779661016949
Cal Poly,4.34,2.411764705882353
Illinois,4.37,2.4925373134328357
Missouri,4.38,2.0
Florida Gulf Coast,4.41,2.902173913043478
Texas A&M,4.45,3.7037037037037037
Wofford,4.5,2.6794871794871793
VMI,4.52,2.3076923076923075
Cincinnati,4.53,2.730337078651685
Dartmouth,4.55,1.5
Iona,4.56,1.4431818181818181
Santa Clara,4.57,1.7333333333333334
South Carolina,4.57,1.9576271186440677
Pittsburgh,4.58,2.3768115942028984
Arizona State,4.59,2.2777777777777777
Sam Houston,4.59,2.3058823529411763
Winthrop,4.6,2.0638297872340425
San Francisco,4.68,1.8085106382978724
South Alabama,4.68,2.1818181818181817
LSU,4.7,2.9722222222222223
Virginia,4.7,2.059322033898305
Miami,4.71,3.056179775280899
Notre Dame,4.76,2.347826086956522
Oral Roberts,4.77,1.9673913043478262
Sacramento State,4.77,2.888888888888889
Tulane,4.79,2.0172413793103448
Wichita State,4.8,2.752808988764045
Bethune-Cookman,4.83,1.7477477477477477
Duke,4.85,1.9401709401709402
Louisiana,4.85,2.4893617021276597
Michigan,4.86,1.8369565217391304
Pennsylvania,4.86,1.9076923076923078
Georgia Tech,4.87,2.2450980392156863
Georgetown,4.88,2.3225806451612905
Liberty,4.9,2.710843373493976
Murray State,4.9,1.8673469387755102
UC Irvine,4.9,2.6266666666666665
