TEAM,RPG,ERA,ELO,OFF_HITS,DEF_HITS,MARGIN,W_STREAK,L_STREAK
Abilene Christian,7.5,6.6,1349.79,8.8,8.7,0.9,57,0.0
Air Force,8.7,8.0,1265.15,9.9,10.0,0.7,19,0.0
Akron,6.9,8.2,1184.7,8.1,9.7,-1.2,90,0.0
Alabama,7.5,4.5,1503.67,8.5,8.0,2.9,0,26.0
Alabama A&M,5.5,8.8,1062.33,8.2,10.4,-3.3,0,90.0
Alabama State,5.6,6.3,1225.78,8.7,9.4,-0.7,0,57.0
Albany,3.8,8.2,1123.77,7.2,10.2,-4.5,0,57.0
Alcorn State,4.0,12.3,1010.82,6.6,11.2,-8.3,57,0.0
Appalachian State,7.9,6.4,1271.74,10.1,8.3,1.6,0,26.0
Arizona,5.1,5.5,1397.55,8.8,8.9,-0.5,0,33.0
Arizona State,9.2,4.2,1547.66,11.7,7.2,5.0,30,0.0
Arkansas,6.6,3.2,1619.83,9.5,6.5,3.3,57,0.0
Arkansas State,7.0,3.2,1487.14,9.4,7.4,3.9,90,0.0
Arkansas-Pine Bluff,4.5,6.5,1186.45,6.7,7.5,-2.0,0,90.0
Army,4.4,6.4,1240.57,6.9,8.6,-2.0,0,90.0
Auburn,7.7,2.8,1707.32,10.2,6.3,5.0,3,0.0
Austin Peay,8.1,6.8,1383.98,9.5,8.4,1.3,0,90.0
BYU,7.7,6.4,1413.67,10.9,9.0,1.3,57,0.0
Ball State,6.1,6.7,1341.06,8.8,9.7,-0.6,30,0.0
Baylor,6.0,5.5,1431.2,8.2,9.4,0.5,0,33.0
Bellarmine,5.4,9.3,1157.98,8.8,11.7,-3.9,0,90.0
Belmont,5.5,7.1,1254.06,9.0,9.1,-1.6,0,90.0
Bethune-Cookman,7.5,5.8,1401.98,9.0,8.6,1.8,0,90.0
Binghamton,4.6,6.9,1274.31,7.1,8.9,-2.2,0,57.0
Boston College,7.0,5.3,1458.23,8.8,8.2,1.6,90,0.0
Bowling Green,4.4,8.4,1290.43,7.4,11.6,-4.1,0,90.0
Bradley,5.2,10.5,1115.21,7.4,11.7,-5.3,0,5.0
Brown,6.1,8.2,1185.95,9.2,9.7,-2.2,0,90.0
Bryant,6.5,5.4,1396.52,8.3,8.6,1.1,30,0.0
Bucknell,4.9,8.4,1202.42,7.8,9.7,-3.5,30,0.0
Butler,6.6,10.6,1059.85,9.2,12.4,-4.0,0,3.0
Cal Poly,6.2,4.6,1477.77,9.9,8.6,1.5,7,0.0
Cal State Bakersfield,6.5,9.3,1198.58,9.2,12.6,-2.8,0,33.0
Cal State Fullerton,5.0,4.4,1401.79,8.7,8.3,0.6,0,90.0
Cal State Northridge,7.0,7.0,1313.18,9.3,9.9,0.1,90,0.0
California,5.8,5.0,1433.91,10.0,8.2,0.8,0,18.0
California Baptist,7.2,4.1,1405.89,10.9,7.4,3.1,0,90.0
Campbell,6.8,5.9,1365.45,8.6,8.2,0.9,90,0.0
Canisius,4.1,8.8,1078.59,6.9,9.6,-4.7,0,18.0
Central Arkansas,5.7,6.8,1226.66,8.6,9.0,-1.1,0,33.0
Central Connecticut,7.2,6.7,1219.06,9.8,9.6,0.5,0,90.0
Central Michigan,7.8,7.7,1194.04,9.4,9.9,0.1,0,33.0
Charleston,4.3,6.2,1366.64,8.2,10.2,-1.9,0,90.0
Charleston Southern,8.3,5.3,1375.36,9.2,8.2,3.0,57,0.0
Charlotte,7.5,4.8,1514.22,10.3,8.1,2.6,57,0.0
Cincinnati,7.7,4.7,1521.23,10.3,7.5,3.0,57,0.0
Clemson,7.3,3.4,1588.71,9.4,5.9,3.9,57,0.0
Coastal Carolina,7.1,5.5,1619.99,8.4,9.1,1.6,19,0.0
Columbia,4.4,8.4,1351.63,8.8,10.2,-4.0,0,14.0
Connecticut,6.4,6.6,1401.8,9.8,9.8,-0.2,90,0.0
Coppin State,4.9,12.7,1020.83,6.4,10.4,-7.8,0,18.0
Cornell,4.2,8.5,1092.28,9.1,9.3,-4.2,0,57.0
Creighton,5.8,6.6,1448.43,9.3,9.8,-0.8,30,0.0
Dallas Baptist,9.8,6.4,1454.25,10.4,8.7,3.4,57,0.0
Dartmouth,4.6,6.3,1148.22,7.4,7.7,-1.7,0,33.0
Davidson,6.6,8.7,1314.97,10.2,10.1,-2.2,0,57.0
Dayton,8.6,7.0,1279.47,10.4,9.7,1.6,90,0.0
Delaware,5.5,7.5,1284.26,8.1,8.9,-2.0,0,33.0
Delaware State,5.1,13.8,965.94,6.9,11.6,-8.7,0,14.0
Duke,7.5,5.1,1455.12,8.3,7.2,2.4,0,90.0
East Carolina,7.1,4.3,1502.58,10.0,7.7,2.8,57,0.0
East Tennessee State,9.3,4.3,1453.58,10.8,7.6,5.0,12,0.0
Eastern Illinois,7.4,7.4,1309.28,9.8,9.5,0.0,30,0.0
Eastern Kentucky,6.1,8.5,1176.32,8.4,9.9,-2.4,0,90.0
Eastern Michigan,5.0,9.2,1127.51,7.1,11.0,-4.2,0,5.0
Elon,5.2,5.2,1284.36,7.5,7.6,0.0,0,26.0
Evansville,4.3,8.1,1220.83,6.2,10.9,-3.7,57,0.0
FAU,6.1,5.6,1417.94,10.0,9.8,0.5,0,90.0
FGCU,8.7,5.1,1487.41,13.1,8.0,3.5,12,0.0
FIU,6.3,8.8,1266.2,8.5,10.5,-2.5,0,5.0
Fairfield,4.6,4.1,1325.84,6.6,7.8,0.5,12,0.0
Fairleigh Dickinson,9.4,7.2,1175.47,11.0,9.4,2.1,19,0.0
Florida,8.2,3.8,1667.7,9.5,7.2,4.4,8,0.0
Florida A&M,4.6,6.3,1278.83,7.9,8.1,-1.6,0,90.0
Florida Atlantic - 34 (1999) Texas - 34 (1977),,,,,,,Florida Atlantic - 34 (1999) Texas - 34 (1977),0.0
Florida State,8.8,3.6,1658.02,9.8,5.5,5.2,19,0.0
Fordham,7.4,9.0,1266.91,8.8,9.9,-1.6,57,0.0
Fresno State,6.7,7.5,1278.26,9.8,10.6,-0.8,0,10.0
Gardner-Webb,7.0,6.6,1268.83,9.8,9.9,0.4,57,0.0
George Mason,5.9,6.3,1363.6,8.8,8.9,-0.4,30,0.0
George Washington,6.3,7.2,1224.37,9.7,8.9,-0.9,0,90.0
Georgetown,6.9,6.1,1250.13,8.5,8.3,0.7,0,33.0
Georgia,10.4,3.4,1609.83,11.1,6.6,7.0,30,0.0
Georgia Southern,5.2,9.6,1259.93,9.2,11.5,-4.4,0,26.0
Georgia State,6.2,6.3,1278.88,8.0,8.0,-0.1,90,0.0
Georgia Tech,12.2,4.4,1648.65,13.5,7.9,7.8,0,57.0
